Timestamp | CPU % of Total | CPU Used (cores) | %MEM | RAM Used (GB) | GPU Util % | GPU MEM Used (MB)
2025-05-22 17:16:27 | 0.42% | 0.10 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:16:28 | 0.42% | 0.10 | 14.9 | 18.71 | 0% | 571
2025-05-22 17:16:29 | 0.42% | 0.10 | 15.7 | 19.73 | 0% | 571
2025-05-22 17:16:30 | 0.42% | 0.10 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:16:32 | 0.42% | 0.10 | 14.9 | 18.73 | 0% | 571
2025-05-22 17:16:33 | 0.42% | 0.10 | 14.7 | 18.09 | 0% | 571
2025-05-22 17:16:34 | 0.42% | 0.10 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:16:35 | 0.42% | 0.10 | 15.0 | 18.88 | 0% | 571
2025-05-22 17:16:36 | 0.42% | 0.10 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:16:37 | 0.42% | 0.10 | 14.9 | 18.61 | 0% | 571
2025-05-22 17:16:38 | 0.42% | 0.10 | 15.3 | 19.33 | 0% | 571
2025-05-22 17:16:40 | 0.42% | 0.10 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:16:41 | 0.43% | 0.10 | 14.9 | 18.71 | 0% | 571
2025-05-22 17:16:42 | 0.43% | 0.10 | 15.4 | 19.33 | 0% | 571
2025-05-22 17:16:43 | 0.43% | 0.10 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:16:44 | 0.43% | 0.10 | 15.0 | 18.88 | 0% | 571
2025-05-22 17:16:45 | 0.43% | 0.10 | 15.4 | 19.33 | 0% | 571
2025-05-22 17:16:47 | 0.43% | 0.10 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:16:48 | 0.43% | 0.10 | 14.9 | 18.81 | 0% | 571
2025-05-22 17:16:49 | 0.43% | 0.10 | 15.4 | 19.33 | 0% | 571
2025-05-22 17:16:50 | 0.43% | 0.10 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:16:51 | 0.44% | 0.10 | 15.1 | 19.05 | 0% | 571
2025-05-22 17:16:52 | 0.44% | 0.10 | 15.4 | 19.41 | 0% | 571
2025-05-22 17:16:53 | 0.44% | 0.10 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:16:55 | 0.44% | 0.10 | 15.0 | 19.02 | 0% | 571
2025-05-22 17:16:56 | 0.44% | 0.11 | 15.5 | 19.56 | 0% | 571
2025-05-22 17:16:57 | 0.44% | 0.11 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:16:58 | 0.44% | 0.11 | 14.9 | 18.71 | 0% | 571
2025-05-22 17:16:59 | 0.44% | 0.11 | 15.6 | 19.71 | 0% | 571
2025-05-22 17:17:00 | 0.45% | 0.11 | 14.5 | 18.30 | 1% | 571
2025-05-22 17:17:02 | 0.45% | 0.11 | 14.9 | 18.78 | 0% | 571
2025-05-22 17:17:03 | 0.45% | 0.11 | 14.4 | 18.09 | 0% | 571
2025-05-22 17:17:04 | 0.45% | 0.11 | 14.7 | 18.50 | 0% | 571
2025-05-22 17:17:05 | 0.45% | 0.11 | 15.1 | 18.99 | 0% | 571
2025-05-22 17:17:06 | 0.45% | 0.11 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:17:07 | 0.45% | 0.11 | 14.8 | 18.65 | 0% | 571
